,,Model1,Model1,Model1,Model1,Model1,Model1,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample
,,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation
tower,model,,,,,,,,,,,,,,,,,,
2,RF,-0.108,14.503,10.865,0.689,0.692,0.459,-0.6,16.878,12.909,0.796,0.852,0.244,-0.353,16.751,11.066,0.681,0.686,0.168
2,XGB,-0.153,14.767,10.406,0.638,0.662,0.372,-0.519,16.747,11.696,0.713,0.763,0.215,-0.498,17.521,11.318,0.689,0.703,0.164
2,LightGBM,-0.147,14.643,10.48,0.653,0.663,0.42,-0.561,16.805,11.688,0.718,0.762,0.24,-0.554,17.73,11.377,0.697,0.708,0.161
2,SARIMAX,-1.432,17.687,13.783,0.799,1.008,0.293,-1.643,19.287,14.397,0.832,1.045,0.065,-2.086,19.525,14.475,0.813,1.083,0.038
2,Ensemble_unweighted,-0.185,14.609,10.564,0.646,0.696,0.433,-0.568,16.768,12.011,0.727,0.81,0.241,-0.585,17.336,11.352,0.677,0.745,0.171
2,Ensemble_MASEweighted,-0.179,14.596,10.546,0.645,0.694,0.433,-0.563,16.756,11.994,0.726,0.808,0.241,-0.578,17.332,11.335,0.677,0.742,0.171
4,RF,-1.49,32.612,22.757,0.916,0.89,0.528,-5.366,34.884,24.88,1.048,1.114,0.489,-1.711,34.078,23.308,0.891,0.89,0.503
4,XGB,-1.201,32.473,22.148,0.862,0.828,0.5,-3.324,33.883,23.082,0.941,0.958,0.45,-0.936,33.419,22.131,0.83,0.79,0.468
4,LightGBM,-1.171,32.513,22.247,0.865,0.835,0.506,-2.475,34.27,23.313,0.925,0.934,0.476,-1.059,34.178,22.847,0.847,0.809,0.473
4,SARIMAX,-0.59,33.935,24.323,0.89,0.858,0.524,-0.519,33.933,24.202,0.888,0.851,0.392,-0.246,33.993,23.752,0.864,0.804,0.445
4,Ensemble_unweighted,-0.465,31.827,21.866,0.827,0.782,0.535,-2.438,33.483,23.121,0.919,0.937,0.501,-0.782,33.265,22.342,0.828,0.797,0.498
4,Ensemble_MASEweighted,-0.484,31.831,21.864,0.827,0.784,0.534,-2.459,33.493,23.117,0.919,0.937,0.501,-0.789,33.271,22.336,0.828,0.797,0.498
9,RF,-0.18,30.44,21.13,0.793,0.686,0.601,-0.382,34.146,24.127,0.894,0.771,0.52,-0.238,34.257,23.574,0.821,0.712,0.534
9,XGB,-0.152,29.91,20.559,0.782,0.665,0.576,-0.18,32.493,22.137,0.812,0.694,0.473,-0.085,33.585,22.285,0.769,0.648,0.5
9,LightGBM,-0.12,31.161,21.878,0.804,0.685,0.564,-0.147,33.715,23.473,0.833,0.698,0.488,-0.119,34.994,23.775,0.798,0.669,0.494
9,SARIMAX,-0.991,36.017,26.886,1.141,0.893,0.572,-1.47,38.074,28.765,1.248,0.94,0.449,-0.572,35.831,26.118,1.06,0.814,0.431
9,Ensemble_unweighted,0.081,29.736,20.56,0.781,0.635,0.601,-0.076,32.547,22.762,0.855,0.69,0.538,-0.011,33.026,22.371,0.78,0.647,0.525
9,Ensemble_MASEweighted,0.079,29.721,20.543,0.779,0.635,0.6,-0.074,32.53,22.732,0.853,0.69,0.537,-0.011,33.039,22.362,0.778,0.646,0.525
